args.feature_dim:  251
Dataset Wisconsin: num_nodes=251, feature_dim=1703, num_classes=5
params:  15623269
[split 4] Epoch 260, Loss: 0.3902, Val Acc: 0.7625, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 270, Loss: 0.3901, Val Acc: 0.7625, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 280, Loss: 0.3900, Val Acc: 0.7625, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 290, Loss: 0.3899, Val Acc: 0.7625, Test Acc: 0.8235, Test Pre: 0.8683, Test F1: 0.8194
[split 4] Epoch 300, Loss: 0.3899, Val Acc: 0.7625, Test Acc: 0.8039, Test Pre: 0.8553, Test F1: 0.7926
Best Test Metrics for split 4: {'accuracy': 0.8235294117647058, 'precision': 0.863171398639679, 'f1': 0.8113564848899841}
params:  15623269
[split 5] Epoch 010, Loss: 0.7270, Val Acc: 0.7750, Test Acc: 0.7451, Test Pre: 0.6765, Test F1: 0.6933
[split 5] Epoch 020, Loss: 0.5181, Val Acc: 0.8125, Test Acc: 0.8039, Test Pre: 0.7738, Test F1: 0.7699
[split 5] Epoch 030, Loss: 0.4603, Val Acc: 0.7625, Test Acc: 0.8431, Test Pre: 0.8999, Test F1: 0.8507
[split 5] Epoch 040, Loss: 0.4278, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8999, Test F1: 0.8507
[split 5] Epoch 050, Loss: 0.4145, Val Acc: 0.8125, Test Acc: 0.8235, Test Pre: 0.8860, Test F1: 0.8218
[split 5] Epoch 060, Loss: 0.4064, Val Acc: 0.8125, Test Acc: 0.8039, Test Pre: 0.8730, Test F1: 0.8007
[split 5] Epoch 070, Loss: 0.4024, Val Acc: 0.8000, Test Acc: 0.8039, Test Pre: 0.8730, Test F1: 0.8007
[split 5] Epoch 080, Loss: 0.3997, Val Acc: 0.7875, Test Acc: 0.8039, Test Pre: 0.8730, Test F1: 0.8007
[split 5] Epoch 090, Loss: 0.3979, Val Acc: 0.7875, Test Acc: 0.7843, Test Pre: 0.7684, Test F1: 0.7602
[split 5] Epoch 100, Loss: 0.3966, Val Acc: 0.7875, Test Acc: 0.8039, Test Pre: 0.7835, Test F1: 0.7811
[split 5] Epoch 110, Loss: 0.3956, Val Acc: 0.7875, Test Acc: 0.8039, Test Pre: 0.7655, Test F1: 0.7753
[split 5] Epoch 120, Loss: 0.3948, Val Acc: 0.8000, Test Acc: 0.8039, Test Pre: 0.7655, Test F1: 0.7753
[split 5] Epoch 130, Loss: 0.3941, Val Acc: 0.8000, Test Acc: 0.8039, Test Pre: 0.7696, Test F1: 0.7777
[split 5] Epoch 140, Loss: 0.3935, Val Acc: 0.8000, Test Acc: 0.8039, Test Pre: 0.7696, Test F1: 0.7777
[split 5] Epoch 150, Loss: 0.3930, Val Acc: 0.8000, Test Acc: 0.8039, Test Pre: 0.7696, Test F1: 0.7777
[split 5] Epoch 160, Loss: 0.3926, Val Acc: 0.8000, Test Acc: 0.8039, Test Pre: 0.7785, Test F1: 0.7818
[split 5] Epoch 170, Loss: 0.3922, Val Acc: 0.8000, Test Acc: 0.8039, Test Pre: 0.7785, Test F1: 0.7818
[split 5] Epoch 180, Loss: 0.3918, Val Acc: 0.8000, Test Acc: 0.8039, Test Pre: 0.7785, Test F1: 0.7818
[split 5] Epoch 190, Loss: 0.3915, Val Acc: 0.8000, Test Acc: 0.8039, Test Pre: 0.7785, Test F1: 0.7818
[split 5] Epoch 200, Loss: 0.3913, Val Acc: 0.7875, Test Acc: 0.8039, Test Pre: 0.7785, Test F1: 0.7818
[split 5] Epoch 210, Loss: 0.3910, Val Acc: 0.7875, Test Acc: 0.8039, Test Pre: 0.7785, Test F1: 0.7818
[split 5] Epoch 220, Loss: 0.3908, Val Acc: 0.7875, Test Acc: 0.8039, Test Pre: 0.7785, Test F1: 0.7818
